FILENAME,ANIMAL,COUNT
2021-08-01-07-31-10.jpg,IMPALA,4
2021-08-01-07-31-13.jpg,IMPALA,2
2021-08-01-07-31-35.jpg,IMPALA,2
2021-08-01-07-31-41.jpg,IMPALA,2
2021-08-01-07-31-45.jpg,IMPALA,1
2021-08-08-10-24-00.jpg,MONKEY,1
2021-08-08-10-24-03.jpg,MONKEY,1
2021-08-08-10-25-04.jpg,MONKEY,1
2021-08-08-10-26-24.jpg,MONKEY,4
2021-08-08-10-26-27.jpg,MONKEY,4
2021-08-08-10-27-43.jpg,MONKEY,2
2021-08-08-10-27-46.jpg,MONKEY,3
2021-08-08-10-28-11.jpg,MONKEY,2
2021-08-08-10-28-14.jpg,MONKEY,2
2021-08-08-10-28-54.jpg,MONKEY,6
2021-08-08-10-30-33.jpg,MONKEY,3
2021-08-08-10-30-37.jpg,MONKEY,4
2021-08-08-10-31-26.jpg,MONKEY,3
2021-08-08-10-31-29.jpg,MONKEY,3
2021-08-08-10-35-55.jpg,MONKEY,2
2021-08-08-10-35-59.jpg,MONKEY,2
2021-08-08-10-36-02.jpg,MONKEY,3
2021-08-08-10-39-19.jpg,MONKEY,4
2021-08-13-16-21-34.jpg,IMPALA,1
2021-08-13-16-21-44.jpg,IMPALA,1
2021-08-13-16-21-47.jpg,IMPALA,1
2021-08-13-16-22-51.jpg,IMPALA,2
2021-08-14-12-53-45.jpg,MONKEY,1
2021-08-14-12-53-54.jpg,MONKEY,1
2021-08-14-12-53-58.jpg,"IMPALA , MONKEY","1, 1"
2021-08-14-12-54-01.jpg,"IMPALA , MONKEY","1, 3"
2021-08-14-12-54-05.jpg,MONKEY,3
2021-08-14-12-54-08.jpg,MONKEY,4
2021-08-14-12-54-11.jpg,MONKEY,6
2021-08-14-12-54-51.jpg,"IMPALA , MONKEY","1, 7"
2021-08-14-12-54-54.jpg,"IMPALA , MONKEY","2, 7"
2021-08-21-08-38-46.jpg,MONKEY,2
2021-08-21-16-23-57.jpg,BUSHBUCK,1
2021-08-21-16-24-10.jpg,BUSHBUCK,1
2021-08-21-16-24-13.jpg,BUSHBUCK,1
2021-08-21-16-24-15.jpg,BUSHBUCK,1
2021-08-21-16-24-18.jpg,BUSHBUCK,1
2021-08-23-06-52-46.jpg,BUSHBUCK,1
2021-08-23-06-52-49.jpg,BUSHBUCK,1
2021-07-01-06-51-57.jpg,IMPALA,1
2021-07-01-06-52-16.jpg,IMPALA,2
2021-07-01-06-52-19.jpg,IMPALA,2
2021-07-01-06-52-32.jpg,IMPALA,2
2021-07-01-06-52-35.jpg,IMPALA,2
2021-07-01-06-59-56.jpg,WATERBUCK,1
2021-07-01-06-59-59.jpg,WATERBUCK,1
2021-07-01-07-00-02.jpg,WATERBUCK,1
2021-07-01-11-23-54.jpg,WARTHOG,1
2021-07-01-11-24-00.jpg,WARTHOG,2
2021-07-01-15-52-10.jpg,ZEBRA,1
2021-07-01-15-52-16.jpg,ZEBRA,1
2021-07-01-15-52-25.jpg,ZEBRA,1
2021-07-01-16-52-05.jpg,WARTHOG,1
2021-07-01-16-52-09.jpg,WARTHOG,1
2021-07-09-06-40-57.jpg,IMPALA,4
2021-07-09-09-06-52.jpg,IMPALA,1
2021-07-09-09-09-05.jpg,IMPALA,2
2021-07-09-09-09-09.jpg,IMPALA,1
2021-07-09-09-10-54.jpg,IMPALA,2
2021-07-09-09-37-15.jpg,IMPALA,1
2021-07-09-17-49-24.jpg,IMPALA,2
2021-07-09-17-49-27.jpg,IMPALA,1
2021-07-31-08-19-04.jpg,WARTHOG,5
2021-07-31-08-19-11.jpg,WARTHOG,3
2021-07-31-08-19-20.jpg,WARTHOG,1
2021-07-31-08-19-27.jpg,WARTHOG,2
2021-07-31-08-19-30.jpg,WARTHOG,2
